State,City,Incidents,Population,Incidents per 100k residents
Portland,Oregon,46,609456,7.54771
Minneapolis,Minnesota,27,400070,6.74882
Richmond,Virginia,13,214114,6.07153
Murfreesboro,Tennessee,5,117044,4.2719
DC,Washington DC,24,646449,3.71259
Seattle,Washington,23,652405,3.52542
Des Moines,Iowa,7,207510,3.37333
Denver,Colorado,20,649495,3.07932
Columbus,Ohio,24,822553,2.91775
Huntsville,Alabama,5,186254,2.68451
Orlando,Florida,5,255483,1.95708
Fort Wayne,Indiana,5,256496,1.94935
Raleigh,North Carolina,8,431746,1.85294
Louisville,Kentucky,11,609893,1.8036
Austin,Texas,14,885400,1.58121
Kansas City,Missouri,7,467007,1.49891
Tampa,Florida,5,352957,1.4166
Atlanta,Georgia,6,447841,1.33976
Detroit,Michigan,9,688701,1.30681
Las Vegas,Nevada,6,603488,0.99422
Los Angeles,California,38,3884307,0.9783
Philadelphia,Pennsylvania,12,1553165,0.77262
San Jose,California,7,998537,0.70103
New York City,New York,50,8405837,0.59482
Chicago,Illinois,14,2718782,0.51494
Dallas,Texas,5,1257676,0.39756
